date,hardware_name,TH/J,max_efficiency
2018-01-22 07:20:02,Ebit E9+,0.022222222,0.01021
2018-04-01 14:38:56,Ebang Ebit Miner E9+,0.022222222,0.01021
2018-11-13 23:29:43,S9j-14T,0.033898305,0.01021
2019-10-03 01:54:57,Antminer S9j,0.032786885,0.0253
2021-07-25 01:36:23,MicroBT Whatsminer M20,0.050263004,0.0339
2022-08-30 04:38:28,Bitmain,0.0625,0.0465
2023-01-26 21:57:43,Bitmain Antminer S19j,0.027692308,-1
2023-01-29 03:00:59,Bitmain Antminer T19,0.026666667,-1
2023-01-29 23:58:36,Bitmain Antminer T17+,0.02,-1
2023-01-30 23:51:50,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-02-02 23:32:37,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-04 09:30:26,Canaan AvalonMiner 921,0.011764706,-1
2023-02-06 12:53:01,Bitmain Antminer R4,0.010295858,-1
2023-02-11 01:36:52,Bitmain Antminer S19,0.029230769,-1
2023-02-13 04:03:21,Bitmain Antminer S17+,0.025,-1
2023-02-13 19:31:55,Bitmain Antminer S19j Pro,0.033898305,-1
2023-02-13 19:31:55,Bitmain Antminer S19 Pro,0.033846154,-1
2023-02-13 19:31:55,Bitmain Antminer S19 Pro,0.033846154,-1
2023-02-13 20:06:05,Bitmain Antminer S19j Pro,0.033898305,-1
2023-02-16 16:54:45,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-02-16 19:55:22,Bitmain Antminer S19,0.029230769,-1
2023-02-20 11:09:30,Bitmain Antminer S9,0.010204082,-1
2023-02-20 14:05:05,Bitmain Antminer R4,0.010295858,-1
2023-02-20 17:41:06,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-21 07:03:28,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-21 23:15:07,Bitmain Antminer S17,0.022222222,-1
2023-02-21 23:19:50,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-24 22:08:50,Canaan AvalonMiner 1126 Pro,0.019883041,-1
2023-02-25 03:08:55,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-25 22:45:03,Canaan AvalonMiner 1246,0.026315789,-1
2023-02-27 06:51:56,Bitmain Antminer S17 Pro,0.025316456,-1
2023-02-27 18:51:05,Bitmain Antminer S9,0.010204082,-1
2023-02-27 23:08:08,Bitmain Antminer S9j,0.010740741,-1
2023-02-28 03:50:55,Bitmain Antminer S17+,0.025,-1
2023-03-01 15:28:23,Bitmain Antminer S9,0.010204082,-1
2023-03-03 12:37:09,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-03-05 23:42:41,Bitmain Antminer S9j,0.010740741,-1
2023-03-06 18:32:30,Bitmain Antminer S19 Pro,0.033846154,-1
2023-03-10 20:09:19,Bitmain Antminer S19 Pro,0.033846154,-1
2023-03-12 03:11:25,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-03-13 19:39:17,Bitmain Antminer S19,0.029230769,-1
2023-03-13 19:39:17,Bitmain Antminer S9,0.010204082,-1
2023-03-14 14:18:59,Bitmain Antminer S19 XP,0.046511628,-1
2023-03-16 06:11:20,Bitmain Antminer S9,0.010204082,-1
2023-03-19 22:31:09,Bitfury B8,0.00765625,-1
2023-03-20 08:42:58,Avalon 1166Pro 81th,0.023823529,-1
2023-03-22 12:29:17,S9,0.010204082,-1
2023-03-22 12:29:17,T17e,0.018181818,-1
2023-03-24 07:59:06,Antminer s9,0.010204082,-1
2023-03-24 07:59:06,Antminer S19 Pro,0.033846154,-1
2023-03-26 22:42:21,S19j Pro,0.033898305,-1
2023-03-27 02:43:59,1166,0.023823529,-1
2023-03-30 06:24:41,Ipollo B1L,0.02,-1
2023-03-30 06:24:41,S19jpro,0.033898305,-1
2023-04-01 19:23:33,S17pro,0.025316456,-1
2023-04-01 19:23:33,T17+,0.02,-1
2023-04-03 00:06:38,Bitmain S19 Xp 141T,0.046511628,-1
2023-04-03 06:06:49,Innosilicon T3+,0.017272727,-1
2023-04-03 16:28:58,Antminer S17+,0.025,-1
2023-04-03 22:01:09,whatsminer m50,0.034482759,-1
2023-04-03 22:01:09,whatsminer m30,0.026315789,-1
2023-04-04 09:55:36,S19XP,0.046511628,-1
2023-04-07 18:44:01,S19j Pro,0.033898305,-1
2023-04-08 23:34:06,Antminer T19,0.026315789,-1
2023-04-09 11:07:36,Whatsminer M50,0.034482759,-1
2023-04-09 11:07:36,S19 J Pro,0.033898305,-1
2023-04-09 21:05:21,S9K,0.010305344,-1
2023-04-10 02:30:30,Bitmain S9,0.010204082,-1
2023-04-10 09:33:49,A921,0.011764706,-1
2023-04-10 09:33:49,A741,0.006347826,-1
2023-04-13 03:08:20,S19 XP,0.046511628,-1
2023-04-14 12:28:14,S19,0.029230769,-1
2023-04-14 12:28:14,S17,0.022222222,-1
2023-04-14 12:28:14,Antminer S9,0.010204082,-1
2023-04-15 12:56:23,S9,0.010204082,-1
2023-04-18 03:06:08,S9,0.010204082,-1
2023-04-18 03:06:08,S17,0.022222222,-1
2023-04-19 19:01:10,Bitmain Antminer S9,0.010204082,-1
2023-04-20 10:11:40,Bitmain Antminer S17,0.022222222,-1
2023-04-20 10:11:40,Bitmain Antminer S19,0.029230769,-1
2023-04-21 14:58:45,Bitmain Antminer S19,0.029230769,-1
2023-04-21 20:13:05,Innosilicon T3+ 57T,0.017272727,-1
2023-04-22 03:37:22,Bitmain Antminer S7,0.003658159,-1
2023-04-22 03:37:22,Bitmain Antminer S9,0.010204082,-1
2023-04-22 03:37:22,Canaan AvalonMiner 841,0.010542636,-1
2023-04-22 03:37:22,Bitmain Antminer R4,0.010295858,-1
2023-04-22 03:37:22,Bitmain Antminer S3,0.001306011,-1
2023-04-24 10:51:22,Bitmain Antminer S9j,0.010740741,-1
2023-04-24 10:51:22,Bitmain Antminer R4,0.010295858,-1
2023-04-24 10:51:22,Bitmain Antminer S9k,0.010305344,-1
2023-04-26 01:13:01,Bitmain Antminer S5,0.001957627,-1
2023-04-27 23:26:22,Bitmain Antminer S9,0.010204082,-1
2023-04-27 23:26:22,Bitmain Antminer S5,0.001957627,-1
2023-04-29 14:27:06,Bitmain Antminer T17,0.018181818,-1
2023-04-30 13:01:35,Bitmain Antminer S19j Pro,0.033898305,-1
2023-04-30 13:21:49,Bitmain Antminer S9,0.010204082,-1
2023-05-02 21:01:39,Innosilicon T3+ 57th,0.017272727,-1
2023-05-03 13:01:57,Bitmain Antminer S9,0.010204082,-1
2023-05-06 21:37:10,Bitmain Antminer S17+,0.025,-1
2023-05-08 05:07:45,Bitmain Antminer S9,0.010204082,-1
2023-05-10 15:35:20,MicroBT Whatsminer M50,0.034482759,-1
2023-05-14 22:25:45,MicroBT Whatsminer M20S,0.020238095,-1
2023-05-14 22:25:45,MicroBT Whatsminer M30S,0.026315789,-1
2023-05-14 22:25:45,MicroBT Whatsminer M50,0.034482759,-1
2023-05-17 03:30:32,Bitmain Antminer S9,0.010204082,-1
2023-05-18 12:48:21,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-05-19 03:27:20,Bitmain Antminer S19j Pro,0.033898305,-1
2023-05-19 10:39:32,Bitmain Antminer S19j Pro+,0.036363636,-1
2023-05-22 15:48:13,Canaan AvalonMiner 1166 Pro,0.023823529,-1
2023-05-23 11:02:41,Canaan AvalonMiner 841,0.010542636,-1
2023-05-23 16:24:20,Canaan AvalonMiner 1166PRO,0.023823529,-1
2023-05-26 13:45:09,Avalonminer a1246,0.026315789,-1
2023-06-01 03:07:35,s9k,0.010305344,-1
2023-06-01 22:40:05,s19,0.029230769,-1
2023-06-04 02:00:12,Antminer S9,0.010204082,-1
2023-06-04 17:15:00,Avalon A1246 miner,0.026315789,-1
2023-06-04 17:15:00,a1246,0.026315789,-1
2023-06-05 00:42:20,s19,0.029230769,-1
2023-06-05 00:42:20,m50,0.034482759,-1
2023-06-07 16:15:28,Canaan Avalon 1066,0.015384615,-1
2023-06-08 18:56:30,S9,0.010204082,-1
2023-06-08 18:56:30,S17,0.025310411,-1
2023-06-10 19:25:36,S19,0.029230769,-1
2023-06-10 19:25:36,1066,0.015384615,-1
2023-06-10 19:25:36,S9s,0.010204082,-1
2023-06-10 19:25:36,S17,0.025310411,-1
2023-06-10 19:25:36,M10,0.015384615,-1
2023-06-10 19:25:36,M30,0.029411765,-1
2023-06-10 19:25:36,M50,0.034482759,-1
2023-06-10 19:25:36,1166,0.023823529,-1
2023-06-10 19:25:36,1246,0.026315789,-1
2023-06-12 02:04:24,Antminer S19j pro +,0.033898305,-1
2023-06-12 20:41:47,S9,0.010204082,-1
2023-06-14 17:50:13,S5,0.001957627,-1
2023-06-15 00:21:44,S17,0.025310411,-1
2023-06-15 00:21:44,Antminer S19,0.029230769,-1
2023-06-15 00:21:44,S7,0.003658159,-1
2023-06-18 13:42:53,S19j Pro,0.033898305,-1
2023-06-23 01:19:02,Antminer S19,0.029230769,-1
2023-07-08 23:29:25,Antminer S9,0.010204082,-1
2023-07-11 23:56:23,Avalon 1166 Pro 81TH,0.023823529,-1
2023-07-12 00:34:42,S9i,0.01015625,-1
2023-07-12 00:49:57,Avalon 1166 Pro 81T,0.023823529,-1
2023-07-12 01:09:01,Antminer S19,0.029230769,-1
2023-07-12 01:09:01,Antminer S19 pro 110Th,0.033846154,-1
2023-07-12 13:51:33,Bitmain S19 Pro,0.033846154,-1
2023-07-12 13:51:33,S19,0.029230769,-1
2023-07-17 02:16:07,AvalonMiner 1166Pro 81,0.023823529,-1
2023-07-19 19:28:40,avalon 1166pro,0.023823529,-1
2023-07-26 01:44:21,S19 pro 100th,0.033846154,-1
2023-08-08 23:14:15,T17+,0.02,-1
2023-08-08 23:14:15,S17+,0.025,-1
2023-08-11 06:25:23,iPolloMiner,0.02,-1
2023-08-12 22:33:33,Whatsminer M10,0.015384615,-1
2023-08-25 16:01:08,Bitmain Antminer S19 Pro 110TH,0.033846154,-1
2023-08-25 16:01:08,bitmain s19,0.029230769,-1
2023-08-27 17:38:51,S9s,0.010204082,-1
2023-09-05 02:33:45,M50,0.034482759,-1
2023-09-05 02:33:45,M30,0.029411765,-1
2023-09-05 02:33:45,S9,0.010204082,-1
2023-09-06 13:10:18,Avalon 1246,0.026315789,-1
2023-09-06 17:24:11,S9 Heater version,0.010204082,-1
2023-09-06 22:37:13,S9,0.010204082,-1
2023-09-08 19:28:52,Antminer S9,0.010204082,-1
2023-09-08 19:37:06,Bitfury b8,0.00765625,-1
2023-09-09 16:38:17,S9,0.010204082,-1
2023-09-12 04:02:02,Canaan Avalon 1166pro,0.023823529,-1
2023-09-20 18:18:26,S9,0.010204082,-1
2023-09-20 18:18:26,S7,0.003658159,-1
2023-09-22 15:58:10,AvalonMiner 1166Pro-81,0.023823529,-1
2023-10-03 22:24:28,S3,0.001306011,-1
2023-10-03 22:24:28,Antminer S3,0.001306011,-1
2023-10-04 22:51:44,S19 J Pro,0.033898305,-1
2023-10-06 02:30:21,antminer s19,0.029230769,-1
2023-10-09 03:02:57,Antminer R4,0.010295858,-1
2023-10-13 02:24:20,s9s,0.010204082,-1
2023-10-13 02:24:20,s19s,0.029230769,-1
2023-10-16 17:52:13,s17pro,0.025316456,-1
2023-10-21 10:59:34,Antminer s19kpro,0.041666667,-1
2023-10-23 00:00:40,S17 Pro 56T,0.025316456,-1
2023-10-24 14:00:23,S19jPro,0.033898305,-1
2023-10-24 14:18:31,Bitmain Antminer S19 90Th,0.029230769,-1
2023-10-25 01:52:45,s19k pro,0.041666667,-1
2023-10-25 23:42:40,R4,0.010295858,-1
2023-10-26 08:40:14,AvalonMiner 1166Pro-72,0.023823529,-1
2023-10-27 16:39:20,Avalonminer 1166 pro,0.023823529,-1
2023-10-29 07:11:42,s19,0.029230769,-1
2023-10-29 07:11:42,s19j,0.027692308,-1
2023-10-29 07:11:42,s19xp,0.046511628,-1
2023-10-29 07:11:42,s19 pro,0.033846154,-1
2023-10-29 07:11:42,s19,0.029230769,-1
2023-10-29 07:11:42,s19j,0.027692308,-1
2023-10-29 07:11:42,s19xp,0.046511628,-1
2023-10-29 07:11:42,s19 pro,0.033846154,-1
2023-10-29 07:11:42,antminer s19xp,0.046511628,-1
