month,optimistic_speculation,pessimistic_speculation,bitcoin_adoption,bitcoin_technology,financial_products,bitcoin_challenges,scams,bitcoin_mining,altcoins,educational_resources,other,posts_count
2010-01,0,0,0,6,0,1,0,5,0,8,3,23
2010-02,0,0,0,9,0,1,0,2,0,9,3,24
2010-03,0,0,1,4,1,1,0,1,0,5,3,16
2010-04,0,0,0,4,0,3,0,4,1,4,1,17
2010-05,0,0,1,0,1,1,0,1,0,2,0,6
2010-06,0,0,1,5,0,5,0,4,0,8,4,27
2010-07,1,2,1,53,0,24,2,30,0,48,16,177
2010-08,1,1,2,47,5,26,0,19,6,41,30,178
2010-09,0,0,1,18,2,9,0,6,2,23,18,79
2010-10,2,0,7,18,3,10,1,8,2,25,32,108
2010-11,1,0,8,49,5,17,2,17,3,60,50,212
2010-12,2,1,5,48,0,23,2,15,3,54,40,193
2011-01,1,0,3,40,2,14,3,14,3,50,36,166
2011-02,7,2,11,58,6,27,5,23,6,76,56,277
2011-03,3,0,10,97,3,44,3,49,3,130,102,444
2011-04,8,5,17,97,21,74,9,53,7,134,127,552
2011-05,11,9,36,188,24,137,26,115,14,273,253,1086
2011-06,108,75,83,438,463,537,337,218,38,669,738,3704
2011-07,28,23,71,190,126,180,89,110,13,298,366,1494
2011-08,17,14,25,154,88,138,86,62,16,229,270,1099
2011-09,8,6,29,79,49,60,34,39,6,133,187,630
2011-10,14,10,36,80,46,85,26,44,9,137,172,659
2011-11,3,1,25,58,40,57,14,18,4,93,114,427
2011-12,2,0,26,42,19,34,10,12,3,89,97,334
2012-01,6,3,22,65,21,51,16,22,6,85,115,412
2012-02,2,0,20,48,26,46,13,18,1,70,89,333
2012-03,5,4,24,74,17,40,17,29,6,95,102,413
2012-04,2,0,27,54,13,26,10,11,2,83,108,336
2012-05,3,0,14,90,27,37,14,20,2,107,111,425
2012-06,7,1,19,80,21,36,16,17,1,120,117,435
2012-07,3,0,20,89,15,37,26,10,4,111,101,416
2012-08,4,2,17,57,12,40,22,19,0,78,80,331
2012-09,5,3,21,79,13,80,27,23,2,94,111,458
2012-10,1,1,16,41,5,39,4,10,1,66,68,252
2012-11,2,0,23,32,5,20,7,10,3,70,96,268
2012-12,1,0,11,45,5,22,8,15,2,62,54,225
2013-01,5,2,19,53,9,22,3,5,1,79,65,263
2013-02,7,0,31,88,9,56,4,20,2,102,98,417
2013-03,22,5,40,150,23,132,21,55,10,170,190,818
2013-04,44,22,78,170,83,210,47,69,19,294,311,1347
2013-05,12,6,58,182,76,165,39,68,26,234,255,1121
2013-06,9,5,31,126,14,92,15,53,9,175,179,708
2013-07,4,1,35,84,14,78,18,36,18,125,128,541
2013-08,3,1,38,79,10,62,19,26,5,133,134,510
2013-09,6,3,22,74,6,68,11,28,7,93,95,413
2013-10,8,2,29,50,12,48,15,21,7,86,113,391
2013-11,41,8,71,187,19,200,45,72,37,267,346,1293
2013-12,51,20,128,183,60,217,40,73,30,314,352,1468
2014-01,35,14,131,204,44,170,51,87,46,321,387,1490
2014-02,43,17,87,218,196,332,182,66,43,330,410,1924
2014-03,32,13,81,198,88,225,101,53,34,321,469,1615
2014-04,25,13,86,157,59,162,39,50,39,267,288,1185
2014-05,34,11,95,117,45,153,44,28,21,214,270,1032
2014-06,35,7,98,126,37,141,44,92,19,168,223,990
2014-07,39,8,113,141,60,145,40,51,24,234,268,1123
2014-08,26,13,89,115,20,114,31,33,19,194,245,899
2014-09,24,15,103,110,27,124,48,30,23,183,236,923
2014-10,15,9,62,151,35,140,48,43,27,205,232,967
2014-11,12,4,52,85,15,71,20,26,5,146,176,612
2014-12,15,4,73,95,23,76,20,27,20,175,221,749
2015-01,36,22,50,117,47,137,62,38,22,170,173,874
2015-02,19,7,79,92,33,126,68,25,22,145,206,822
2015-03,13,4,51,107,27,84,41,41,15,149,163,695
2015-04,14,6,54,93,30,94,56,28,23,126,164,688
2015-05,11,4,30,119,35,90,22,31,23,123,122,610
2015-06,16,3,43,149,22,110,22,33,22,116,125,661
2015-07,22,3,59,166,24,136,31,51,21,194,150,857
2015-08,17,8,43,275,27,217,53,73,25,185,169,1092
2015-09,12,5,22,155,15,136,25,53,10,102,118,653
2015-10,9,2,42,99,20,84,23,14,12,122,98,525
2015-11,21,6,35,110,29,80,30,28,16,130,121,606
2015-12,18,3,25,124,13,76,41,38,15,126,139,618
2016-01,15,6,44,185,26,172,49,55,26,156,157,891
2016-02,11,3,37,167,16,116,33,51,18,166,120,738
2016-03,11,0,23,131,14,98,23,37,21,101,99,558
2016-04,13,0,43,101,18,60,37,28,15,119,125,559
2016-05,18,5,35,131,20,89,63,51,20,144,170,746
2016-06,30,8,44,109,37,97,42,40,25,139,131,702
2016-07,28,11,37,96,18,83,28,54,18,130,129,632
2016-08,10,1,21,96,35,77,42,24,23,140,110,579
2016-09,9,2,20,79,17,55,28,20,22,92,77,421
2016-10,9,1,38,92,17,65,17,21,16,105,77,458
2016-11,12,0,34,105,17,81,13,45,12,96,73,488
2016-12,11,1,23,92,14,76,18,29,13,110,64,451
2017-01,12,8,39,129,26,116,25,41,19,145,99,659
2017-02,15,7,40,148,29,142,24,44,22,128,97,696
2017-03,35,14,31,304,66,295,52,127,74,176,105,1279
2017-04,11,10,39,188,23,165,71,87,29,103,93,819
2017-05,47,18,52,197,26,192,45,72,63,158,123,993
2017-06,43,23,49,190,24,201,33,76,64,180,110,993
2017-07,56,35,44,320,60,255,58,102,95,268,122,1415
2017-08,88,21,67,274,44,248,50,129,98,252,174,1445
2017-09,118,86,103,189,106,348,118,96,95,301,238,1798
2017-10,137,54,122,358,97,358,80,111,159,435,264,2175
2017-11,313,159,156,411,207,575,146,235,292,562,318,3374
2017-12,345,200,132,474,300,670,181,191,311,782,410,3996
2018-01,263,159,146,418,251,622,186,186,304,710,419,3664
2018-02,252,170,166,280,181,452,216,109,226,556,396,3004
2018-03,233,164,196,284,184,445,182,126,221,580,464,3079
2018-04,171,88,101,151,106,251,108,62,112,324,221,1695
2018-05,64,40,55,132,57,163,55,47,85,193,167,1058
2018-06,54,43,61,83,57,127,69,51,58,147,119,869
2018-07,93,27,90,99,84,144,45,29,41,172,107,931
2018-08,97,45,67,95,102,145,52,37,62,166,122,990
2018-09,68,38,67,89,68,109,43,29,39,137,80,767
2018-10,40,18,67,83,42,93,34,26,27,127,100,657
2018-11,48,42,44,62,26,123,45,51,43,103,96,683
2018-12,42,19,24,64,10,105,29,39,22,91,66,511
2019-01,36,15,35,55,24,62,23,15,13,94,66,438
2019-02,12,3,32,51,13,41,12,10,13,69,55,311
2019-03,20,6,17,55,13,43,21,12,13,72,47,319
2019-04,26,6,27,57,26,56,24,22,21,80,47,392
2019-05,53,12,45,81,37,83,51,21,23,129,108,643
2019-06,32,12,35,77,32,81,33,19,19,114,77,531
2019-07,36,7,41,56,12,73,22,13,26,108,90,484
2019-08,20,9,35,38,11,51,31,22,20,79,54,370
2019-09,17,18,24,47,19,38,17,13,9,83,60,345
2019-10,37,11,50,61,38,74,29,25,23,117,74,539
2019-11,35,16,52,60,22,80,24,23,16,110,81,519
2019-12,42,6,42,56,21,61,24,20,14,88,68,442
2020-01,28,7,32,58,8,53,21,20,12,107,70,416
2020-02,19,6,19,47,7,37,20,23,12,93,50,333
2020-03,33,20,38,24,13,43,15,11,5,64,49,315
2020-04,29,14,19,34,9,36,22,27,5,70,51,316
2020-05,36,12,15,60,12,53,14,56,14,100,69,441
2020-06,22,6,33,57,16,45,35,21,10,94,58,397
2020-07,17,7,15,51,14,39,40,13,10,65,34,305
2020-08,33,1,23,45,9,41,24,24,11,77,36,324
2020-09,22,7,31,52,22,54,31,15,14,83,50,381
2020-10,40,12,34,51,28,59,27,20,7,90,42,410
2020-11,79,12,49,58,39,77,30,22,15,125,66,572
2020-12,79,24,38,57,36,76,28,19,21,120,63,561
2021-01,86,28,32,76,48,82,37,39,26,171,101,726
2021-02,73,21,50,40,27,69,25,27,18,94,62,506
2021-03,32,9,34,52,20,59,15,24,13,90,58,406
2021-04,40,21,33,29,18,60,18,24,17,65,56,381
2021-05,42,23,26,47,12,92,14,41,28,67,66,458
2021-06,45,14,46,43,10,91,20,36,16,71,59,451
2021-07,26,7,27,53,9,55,13,35,10,67,60,362
2021-08,28,5,43,40,11,50,17,25,10,84,45,358
2021-09,22,7,45,47,18,51,17,20,9,78,55,369
2021-10,19,7,24,23,19,34,8,20,8,53,33,248
2021-11,14,9,20,27,13,39,9,23,6,48,37,245
2021-12,31,9,18,41,15,39,8,9,10,70,48,298
2022-01,32,10,28,33,6,33,7,28,6,73,35,291
2022-02,14,10,40,25,5,50,16,16,3,41,50,270
2022-03,26,11,47,33,17,64,12,16,13,79,62,380
2022-04,18,6,32,39,13,39,21,27,10,87,50,342
2022-05,20,13,29,34,18,43,16,26,11,70,46,326
2022-06,30,32,25,36,16,56,16,28,18,72,29,358
2022-07,30,14,26,44,20,47,17,23,12,85,40,358
2022-08,18,11,28,44,16,39,17,20,7,87,53,340
2022-09,18,9,25,33,5,40,14,19,9,71,41,284
2022-10,31,10,34,26,11,38,10,24,6,66,36,292
2022-11,31,9,20,36,28,47,22,11,9,79,33,325
2022-12,22,12,34,42,12,40,17,15,9,94,47,344
2023-01,37,5,33,46,10,34,10,10,2,96,40,323
2023-02,24,3,37,39,6,58,12,14,9,102,49,353
2023-03,57,7,39,55,19,57,24,12,17,141,58,486
2023-04,53,16,36,51,11,54,14,24,8,133,62,462
2023-05,46,6,34,79,8,84,19,31,16,148,69,540
2023-06,24,9,29,33,25,56,20,21,7,109,63,396
2023-07,40,4,30,35,21,37,10,14,9,97,38,335
2023-08,45,11,29,34,19,43,17,18,13,91,37,357
2023-09,44,11,29,55,23,64,15,23,12,110,53,439
2023-10,53,8,23,53,28,45,23,19,12,128,54,446
2023-11,48,5,23,65,23,64,21,23,12,112,39,435
2023-12,50,12,24,69,22,63,9,28,20,121,51,469
2024-01,50,12,28,63,49,48,21,19,12,125,42,469
2024-02,34,1,13,41,24,46,7,18,9,87,36,316
2024-03,32,7,8,28,20,22,12,8,6,53,28,224
